Rk,Player,Pos,Age,Tm,G,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Joe Ingles\inglejo01,SF,33,UTA,50,1341,17.0,.714,.710,.169,1.8,12.0,7.1,22.1,1.2,0.6,15.7,15.9,,4.0,1.6,5.6,.199,,3.3,1.0,4.4,2.2
2,Ivica Zubac\zubaciv01,C,23,LAC,57,1269,19.7,.694,.010,.440,14.2,22.9,18.6,7.5,0.9,3.5,14.4,15.0,,4.0,1.7,5.7,.214,,0.9,-0.2,0.7,0.9
3,Jarrett Allen\allenja01,C,22,TOT,46,1327,21.6,.680,.038,.659,11.6,27.1,19.3,8.8,0.8,5.1,13.6,16.9,,3.6,1.7,5.3,.193,,2.1,0.1,2.2,1.4
4,Rudy Gobert\goberru01,C,28,UTA,55,1705,23.7,.675,.007,.690,12.0,32.7,22.7,6.3,0.8,7.3,13.1,17.1,,4.8,4.0,8.8,.248,,2.1,2.5,4.6,2.9
5,Richaun Holmes\holmeri01,C,27,SAC,50,1499,20.3,.674,.022,.298,9.3,24.0,16.5,8.0,1.1,4.5,10.4,16.7,,4.1,1.0,5.2,.165,,0.7,-0.2,0.5,1.0
6,Joe Harris\harrijo01,SF,29,BRK,55,1688,14.5,.671,.642,.086,2.4,10.4,6.6,8.3,1.0,0.5,7.1,16.0,,3.6,0.8,4.5,.127,,2.0,-1.4,0.6,1.1
7,Kevin Durant\duranke01,PF,32,BRK,22,749,25.7,.665,.316,.407,1.4,21.1,11.7,24.9,0.9,3.4,15.4,32.0,,2.2,0.8,2.9,.187,,5.7,0.0,5.7,1.4
8,Stephen Curry\curryst01,PG,32,GSW,48,1627,26.5,.660,.572,.289,1.6,15.7,8.7,31.4,1.7,0.3,12.0,33.2,,5.3,1.8,7.1,.208,,8.0,0.2,8.2,4.2
9,Robin Lopez\lopezro01,C,32,WAS,54,1088,15.8,.657,.057,.350,11.1,10.4,10.7,6.1,0.6,2.5,13.8,16.1,,2.1,0.6,2.7,.121,,-0.1,-1.4,-1.5,0.1
10,Zion Williamson\willizi01,PF,20,NOP,50,1646,27.9,.656,.032,.519,8.7,15.3,12.0,20.0,1.3,2.0,11.1,29.7,,6.4,1.0,7.4,.216,,5.9,-0.2,5.6,3.2
11,Deandre Ayton\aytonde01,C,22,PHO,55,1680,20.5,.653,.035,.253,12.5,26.8,19.8,6.9,0.8,3.4,12.8,19.5,,4.0,2.7,6.8,.194,,0.7,0.1,0.8,1.2
12,Michael Porter Jr.\portemi01,SF,22,DEN,45,1377,20.2,.649,.448,.168,6.8,22.0,14.5,4.7,1.0,3.0,7.6,20.9,,3.4,1.5,4.9,.169,,3.4,-1.2,2.2,1.5
13,Montrezl Harrell\harremo01,C,27,LAL,56,1365,22.5,.646,.019,.412,11.4,18.9,15.2,7.5,1.4,2.8,9.3,21.5,,3.9,2.5,6.4,.225,,2.4,0.3,2.7,1.6
14,Mikal Bridges\bridgmi01,SF,24,PHO,55,1767,15.7,.644,.458,.199,4.1,11.6,8.0,9.3,1.4,2.5,7.7,15.0,,3.6,2.2,5.9,.159,,1.7,0.7,2.4,2.0
15,Joel Embiid\embiijo01,C,26,PHI,37,1189,31.2,.642,.169,.642,7.4,29.8,18.9,16.9,1.5,4.1,11.8,35.1,,4.6,2.5,7.1,.285,,6.8,1.4,8.2,3.0
16,Nikola Jokić\jokicni01,C,25,DEN,55,1945,30.9,.641,.184,.266,9.3,25.6,17.5,41.2,2.0,1.8,13.3,29.0,,9.4,2.6,12.0,.296,,9.0,2.5,11.6,6.6
17,Enes Kanter\kanteen01,C,28,POR,54,1430,22.5,.641,.002,.298,17.0,31.6,24.0,7.3,1.0,2.5,11.8,17.4,,4.7,1.2,5.9,.198,,1.8,-1.9,-0.1,0.7
18,Chris Boucher\bouchch01,C,28,TOR,56,1338,22.0,.635,.415,.340,8.5,22.4,15.2,7.0,1.2,8.0,7.2,20.7,,3.6,2.0,5.6,.202,,2.7,0.3,3.0,1.7
19,Norman Powell\powelno01,SG-SF,27,TOT,52,1604,17.2,.635,.469,.300,2.0,9.2,5.5,9.2,1.9,0.8,10.8,23.5,,2.7,1.1,3.8,.115,,1.5,-0.5,0.9,1.2
20,Zach LaVine\lavinza01,SG,25,CHI,53,1867,21.6,.633,.424,.268,1.9,14.0,8.1,24.0,1.1,1.2,14.4,31.0,,3.8,1.5,5.4,.138,,4.8,-1.0,3.8,2.7
21,Giannis Antetokounmpo\antetgi01,PF,26,MIL,46,1554,28.8,.630,.203,.534,5.6,28.4,17.4,29.1,1.6,3.5,14.1,32.6,,5.1,2.7,7.8,.241,,6.0,2.6,8.5,4.1
22,John Collins\collijo01,PF,23,ATL,47,1422,20.7,.630,.259,.252,7.7,20.3,14.1,7.6,0.9,3.1,7.7,22.5,,3.8,1.4,5.2,.175,,2.5,-0.4,2.1,1.5
23,Mason Plumlee\plumlma01,C,30,DET,51,1376,18.3,.630,.020,.450,10.7,27.4,18.8,20.3,1.5,2.8,18.7,16.3,,2.7,1.8,4.5,.157,,0.0,1.6,1.6,1.3
24,Duncan Robinson\robindu01,SF,26,MIA,55,1765,10.6,.630,.860,.109,0.3,12.2,6.4,8.4,0.8,0.8,10.4,16.2,,1.3,1.5,2.8,.077,,-0.3,-0.8,-1.1,0.4
25,Doug McDermott\mcderdo01,PF,29,IND,51,1245,15.4,.625,.444,.141,4.6,11.9,8.3,8.2,0.6,0.3,7.6,19.9,,2.2,0.6,2.8,.109,,1.6,-2.0,-0.4,0.5
26,Nicolas Batum\batumni01,SF,32,LAC,54,1533,13.3,.624,.666,.149,3.3,15.8,9.7,10.5,1.9,1.6,10.8,12.1,,2.5,1.9,4.3,.135,,0.6,0.8,1.4,1.3
27,Jalen Brunson\brunsja01,PG,24,DAL,50,1283,16.9,.624,.336,.270,1.7,13.5,7.7,20.4,1.0,0.0,11.1,19.9,,2.9,0.9,3.8,.142,,1.2,-0.8,0.4,0.8
28,Dāvis Bertāns\bertada01,PF,28,WAS,41,1003,11.9,.623,.896,.236,1.6,11.3,6.4,5.0,1.2,0.8,6.6,16.4,,1.4,0.6,2.1,.099,,0.6,-1.2,-0.6,0.4
29,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,35,1180,21.8,.623,.301,.405,1.7,13.0,7.4,31.2,1.1,1.7,13.7,28.2,,2.8,0.9,3.6,.147,,3.8,0.0,3.8,1.7
30,Bam Adebayo\adebaba01,C,23,MIA,49,1640,22.7,.622,.013,.446,8.1,23.0,15.7,27.2,1.5,3.6,15.0,24.2,,4.1,2.6,6.7,.196,,2.9,1.8,4.8,2.8
31,Miles Bridges\bridgmi02,PF,22,CHO,54,1499,13.4,.622,.464,.189,4.9,17.9,11.4,10.5,1.1,2.6,15.6,16.0,,1.5,1.5,3.0,.095,,-0.5,-0.2,-0.7,0.5
32,Jeff Green\greenje02,C,34,BRK,51,1358,12.1,.622,.473,.296,2.1,13.2,7.9,7.3,1.0,1.1,9.1,14.8,,1.9,0.8,2.8,.098,,-0.4,-1.0,-1.4,0.2
33,Kawhi Leonard\leonaka01,SF,29,LAC,45,1559,26.9,.621,.270,.318,3.9,17.2,10.7,24.0,2.4,1.1,8.6,29.2,,5.9,2.1,8.0,.246,,5.8,1.0,6.8,3.5
34,Daniel Theis\theisda01,C,28,TOT,51,1234,15.4,.621,.328,.243,6.0,18.0,12.0,9.6,1.2,3.7,11.3,15.5,,2.1,1.4,3.5,.134,,-0.4,0.6,0.2,0.7
35,Kyrie Irving\irvinky01,PG,28,BRK,39,1370,25.3,.619,.333,.198,3.7,11.2,7.6,29.3,1.7,1.5,9.1,30.6,,4.8,1.1,5.8,.204,,6.1,-0.6,5.5,2.6
36,Lauri Markkanen\markkla01,PF,23,CHI,34,937,15.4,.619,.539,.197,3.1,18.7,11.1,4.7,0.8,1.1,8.8,20.8,,1.2,0.8,2.0,.103,,1.4,-1.6,-0.2,0.4
37,Jonas Valančiūnas\valanjo01,C,28,MEM,48,1345,24.0,.619,.075,.279,16.0,33.0,24.3,9.9,0.9,2.5,11.2,23.3,,3.7,2.0,5.7,.203,,2.8,-0.8,2.0,1.3
38,James Harden\hardeja01,PG-SG,31,TOT,42,1558,24.6,.616,.453,.438,2.6,20.7,12.0,44.2,1.5,1.6,16.7,28.7,,5.2,1.6,6.8,.209,,6.1,0.4,6.5,3.3
39,Karl-Anthony Towns\townska01,C,25,MIN,34,1180,23.6,.616,.348,.323,8.1,27.4,17.4,22.9,1.0,3.5,13.8,28.5,,2.6,1.1,3.7,.151,,4.2,0.5,4.7,2.0
40,Paul George\georgpa01,SF,30,LAC,42,1411,21.8,.615,.430,.231,2.9,17.5,10.4,25.7,1.7,1.1,14.2,29.1,,3.2,1.6,4.9,.166,,4.9,-0.3,4.5,2.3
41,Harrison Barnes\barneha02,PF,28,SAC,53,1925,15.0,.613,.385,.378,3.4,17.1,10.2,12.9,1.0,0.4,11.0,16.8,,3.5,0.3,3.7,.093,,1.1,-1.6,-0.5,0.7
42,Damian Lillard\lillada01,PG,30,POR,52,1867,25.1,.613,.535,.372,1.4,11.5,6.3,35.8,1.2,0.7,11.9,31.9,,7.2,0.4,7.6,.194,,7.1,-1.9,5.2,3.4
43,Clint Capela\capelca01,C,26,ATL,49,1482,24.8,.611,.000,.326,17.4,34.2,25.9,4.5,1.1,6.5,9.0,19.9,,3.9,2.6,6.5,.211,,2.7,0.2,2.9,1.8
44,Danilo Gallinari\gallida01,PF,32,ATL,39,935,15.8,.610,.553,.363,1.3,17.0,9.3,8.8,1.2,0.7,8.2,21.7,,1.9,0.7,2.6,.133,,1.3,-0.9,0.4,0.6
45,Marcus Morris\morrima03,PF,31,LAC,44,1140,14.5,.610,.513,.132,2.7,14.7,8.8,5.8,1.1,0.8,7.6,19.9,,1.7,1.0,2.8,.116,,0.8,-1.2,-0.4,0.5
46,Bryn Forbes\forbebr01,SG,27,MIL,54,1032,11.7,.609,.642,.112,0.8,6.3,3.7,4.3,0.8,0.0,6.8,18.4,,1.3,0.6,1.9,.086,,-0.1,-2.0,-2.1,0.0
47,Tobias Harris\harrito02,PF,28,PHI,49,1631,20.7,.609,.230,.234,3.4,20.0,11.9,17.6,1.3,2.3,9.9,24.0,,3.6,2.6,6.2,.183,,3.2,0.9,4.1,2.5
48,Desmond Bane\banede01,SG,22,MEM,49,1096,12.4,.607,.518,.106,1.7,13.3,7.3,9.7,1.4,0.8,10.6,16.6,,1.1,1.1,2.2,.095,,-0.9,-0.1,-0.9,0.3
49,Christian Wood\woodch01,C,25,HOU,32,1022,21.5,.606,.298,.292,5.8,27.0,15.9,8.8,1.3,3.6,9.4,25.8,,1.4,1.3,2.7,.127,,2.4,-0.2,2.1,1.1
50,LeBron James\jamesle01,PG,36,LAL,41,1388,24.5,.605,.352,.316,2.0,23.6,13.0,41.5,1.5,1.5,15.0,31.7,,3.0,2.6,5.6,.194,,6.1,1.7,7.8,3.4
51,Brook Lopez\lopezbr01,C,32,MIL,54,1471,14.8,.605,.487,.210,5.9,13.5,9.8,3.6,1.1,4.6,8.6,16.2,,2.2,1.8,4.0,.132,,0.0,0.0,0.0,0.7
52,Myles Turner\turnemy01,C,24,IND,46,1422,15.8,.604,.475,.322,4.6,18.3,11.5,4.4,1.3,9.2,12.0,16.6,,1.2,2.3,3.4,.116,,-1.2,1.9,0.6,0.9
53,Jakob Poeltl\poeltja01,C,25,SAS,53,1376,17.1,.603,.000,.294,13.2,19.7,16.4,9.9,1.2,5.4,15.9,13.3,,2.2,1.9,4.1,.141,,-0.6,0.7,0.1,0.7
54,Grayson Allen\allengr01,SG,25,MEM,40,1000,13.6,.602,.674,.208,1.6,12.4,6.8,11.8,1.9,0.6,10.0,16.9,,1.4,1.0,2.4,.115,,0.1,0.3,0.4,0.6
55,Evan Fournier\fournev01,SF-SG,28,TOT,30,902,17.5,.602,.518,.312,0.6,9.3,4.8,19.1,1.7,1.2,11.1,25.0,,1.4,0.7,2.0,.108,,1.6,-0.5,1.1,0.7
56,Cameron Johnson\johnsca02,PF,24,PHO,49,1141,13.1,.601,.693,.123,2.6,12.8,7.9,8.4,1.3,1.2,8.4,17.1,,1.4,1.3,2.7,.113,,0.9,-0.2,0.7,0.8
57,Jimmy Butler\butleji01,SF,31,MIA,40,1345,26.2,.600,.140,.541,6.5,17.1,11.9,36.7,3.1,1.2,10.7,26.5,,4.8,2.2,7.0,.250,,5.0,2.7,7.7,3.3
58,Jrue Holiday\holidjr01,PG,30,MIL,43,1357,19.8,.598,.348,.146,4.4,10.4,7.5,24.3,2.6,1.5,13.0,21.9,,3.0,1.8,4.7,.167,,2.6,0.9,3.4,1.9
59,Malik Monk\monkma01,SG,22,CHO,32,694,15.2,.598,.512,.202,1.9,11.5,6.6,14.2,1.1,0.6,11.8,24.6,,0.6,0.4,1.1,.074,,1.0,-2.0,-1.1,0.2
60,OG Anunoby\anunoog01,SF,23,TOR,37,1221,14.6,.597,.508,.202,4.5,14.6,9.4,9.2,2.3,2.1,12.4,18.5,,1.1,1.4,2.5,.098,,0.1,0.3,0.4,0.7
61,Bradley Beal\bealbr01,SG,27,WAS,45,1587,23.1,.597,.286,.345,3.5,11.0,7.2,24.2,1.5,0.8,11.4,34.6,,3.2,1.1,4.3,.130,,5.2,-1.6,3.6,2.2
62,Sterling Brown\brownst02,SG,25,HOU,51,1229,11.2,.597,.642,.093,3.2,16.8,9.7,8.5,1.5,0.9,10.5,13.5,,1.0,1.0,2.0,.079,,-1.7,0.0,-1.7,0.1
63,Mike Conley\conlemi01,PG,33,UTA,44,1312,19.2,.597,.531,.214,2.8,9.1,6.1,28.2,2.2,0.4,11.9,22.6,,3.6,1.7,5.3,.195,,3.5,0.6,4.1,2.0
64,Bobby Portis\portibo01,C,25,MIL,51,1098,19.5,.597,.264,.103,9.2,25.5,17.7,7.7,1.7,1.5,8.1,20.2,,2.2,1.7,3.9,.169,,1.9,-0.5,1.4,1.0
65,Naz Reid\reidna01,C,21,MIN,54,1041,17.9,.597,.300,.306,5.9,20.1,12.7,9.1,1.4,4.8,10.0,22.1,,1.4,1.0,2.3,.108,,-0.3,-0.3,-0.6,0.4
66,Terry Rozier\roziete01,SG,26,CHO,51,1722,17.3,.597,.521,.186,1.8,11.6,6.7,17.0,1.9,1.2,10.1,24.0,,2.5,1.5,4.0,.113,,2.5,-0.8,1.7,1.6
67,DeMar DeRozan\derozde01,PF,31,SAS,46,1560,22.1,.595,.093,.478,2.1,11.6,6.7,32.8,1.3,0.6,9.8,25.2,,4.7,1.2,5.9,.181,,3.7,-0.2,3.5,2.2
68,Thaddeus Young\youngth01,PF,32,CHI,50,1233,20.6,.595,.059,.166,11.0,17.4,14.2,26.1,2.3,2.1,16.2,21.3,,2.4,1.6,4.0,.155,,1.9,1.4,3.3,1.7
69,Bogdan Bogdanović\bogdabo01,SG,28,ATL,31,856,15.9,.594,.585,.090,2.2,12.2,7.3,17.0,1.5,0.8,8.5,20.4,,1.5,0.6,2.2,.121,,2.2,0.0,2.3,0.9
70,Luka Dončić\doncilu01,PG,21,DAL,49,1716,25.8,.594,.391,.341,2.5,21.8,12.3,44.0,1.4,1.6,15.2,36.0,,4.1,2.0,6.1,.171,,6.5,0.8,7.3,4.1
71,Danny Green\greenda02,SF,33,PHI,54,1530,11.9,.594,.792,.073,3.0,11.0,7.1,7.9,2.1,2.7,11.7,13.9,,1.2,2.4,3.6,.114,,0.2,1.2,1.4,1.3
72,Jaylen Brown\brownja02,SG,24,BOS,52,1774,20.5,.593,.363,.229,4.0,15.0,9.5,17.1,1.7,1.5,11.6,29.7,,3.0,1.8,4.7,.127,,3.8,-0.8,3.0,2.2
73,Patty Mills\millspa02,PG,32,SAS,52,1337,13.4,.593,.690,.128,1.3,6.1,3.7,14.0,1.2,0.1,8.7,19.1,,1.7,0.7,2.4,.086,,1.1,-1.7,-0.6,0.5
74,Kenrich Williams\willike04,PF,26,OKC,55,1139,13.8,.593,.277,.150,6.2,14.6,10.4,16.1,1.6,0.9,13.6,15.0,,1.4,1.0,2.4,.101,,-1.2,0.7,-0.4,0.4
75,Devin Booker\bookede01,SG,24,PHO,51,1720,19.4,.592,.309,.292,1.3,12.2,6.9,22.0,1.2,0.7,13.1,32.9,,2.2,1.9,4.0,.113,,1.5,-1.1,0.4,1.0
76,Jamal Murray\murraja01,PG,23,DEN,48,1704,18.4,.592,.399,.193,2.5,10.4,6.5,20.1,1.9,0.7,11.2,24.8,,3.3,1.4,4.7,.131,,2.7,-1.0,1.7,1.6
77,Jae'Sean Tate\tateja01,SF,25,HOU,55,1586,14.1,.592,.313,.236,7.2,13.0,10.0,10.7,1.9,1.7,11.7,15.4,,2.1,1.4,3.5,.107,,-1.6,0.5,-1.1,0.4
78,Kyle Lowry\lowryky01,PG,34,TOR,40,1385,16.3,.591,.536,.276,2.5,15.2,8.7,31.5,1.5,0.7,16.7,21.6,,2.3,1.2,3.5,.121,,1.6,-0.7,1.0,1.0
79,Khris Middleton\middlkh01,SF,29,MIL,53,1767,18.4,.591,.326,.219,2.7,16.0,9.6,23.6,1.6,0.5,13.9,24.9,,3.2,1.9,5.2,.140,,2.1,-0.6,1.5,1.6
80,Brandon Ingram\ingrabr01,SF,23,NOP,50,1723,20.0,.590,.348,.295,1.9,13.9,7.9,22.2,1.0,1.9,10.8,28.2,,3.8,0.8,4.6,.127,,3.9,-1.4,2.5,2.0
81,Kelly Olynyk\olynyke01,C-PF,29,TOT,54,1492,14.2,.590,.600,.147,4.5,21.4,13.0,12.7,1.7,2.3,12.7,18.1,,1.1,2.1,3.2,.104,,-0.7,0.8,0.1,0.8
82,Domantas Sabonis\sabondo01,PF,24,IND,51,1824,19.7,.590,.179,.397,7.9,27.6,17.7,25.2,1.5,1.3,16.7,24.3,,2.9,2.3,5.2,.137,,2.0,1.0,2.9,2.3
83,Anthony Davis\davisan02,PF,27,LAL,23,755,24.4,.588,.151,.339,7.1,21.2,14.3,16.3,2.0,4.8,9.3,27.9,,1.5,1.7,3.1,.199,,4.3,2.1,6.4,1.6
84,Tyrese Haliburton\halibty01,PG,20,SAC,50,1509,16.1,.588,.481,.086,2.6,8.8,5.7,23.0,2.1,1.5,12.1,17.6,,2.5,0.4,2.9,.092,,1.8,-0.7,1.0,1.2
85,T.J. McConnell\mccontj01,PG,28,IND,51,1303,16.8,.587,.092,.101,3.4,12.5,7.9,34.6,3.3,1.1,22.0,14.9,,1.9,1.6,3.5,.129,,0.0,1.7,1.7,1.2
86,Bruce Brown\brownbr01,PG,24,BRK,51,1129,15.0,.585,.142,.270,8.6,15.6,12.3,9.6,1.9,1.5,10.6,15.9,,1.9,1.1,3.0,.127,,-1.0,-0.2,-1.2,0.2
87,Chris Paul\paulch01,PG,35,PHO,54,1706,20.5,.585,.294,.217,1.5,14.6,8.2,39.6,2.3,0.6,14.0,22.0,,4.6,2.4,7.0,.198,,2.6,1.4,4.1,2.6
88,Kristaps Porziņģis\porzikr01,C,25,DAL,35,1087,22.0,.585,.384,.198,7.1,25.2,16.3,8.5,0.6,4.7,7.2,27.3,,2.0,1.5,3.5,.155,,3.0,-0.5,2.5,1.2
89,Gordon Hayward\haywago01,SF,30,CHO,44,1496,17.6,.584,.312,.281,2.7,16.2,9.4,19.4,1.7,0.9,11.0,23.8,,2.3,1.4,3.7,.119,,1.9,-0.5,1.4,1.3
90,Saddiq Bey\beysa01,SF,21,DET,53,1341,12.7,.583,.682,.206,2.2,15.7,8.8,7.6,1.4,0.4,7.6,18.1,,1.4,1.0,2.4,.087,,0.3,-1.0,-0.7,0.5
91,Reggie Bullock\bullore01,SF,29,NYK,49,1365,10.4,.583,.692,.088,0.9,11.9,6.4,7.2,1.4,0.6,7.6,14.5,,1.2,1.7,2.9,.102,,-1.3,0.6,-0.6,0.5
92,Wendell Carter Jr.\cartewe01,C,21,TOT,42,1068,17.6,.583,.099,.422,10.3,24.2,17.3,12.3,1.3,2.9,13.4,19.5,,1.6,1.3,3.0,.134,,-0.7,0.0,-0.7,0.3
93,Trae Young\youngtr01,PG,22,ATL,51,1751,22.0,.583,.360,.490,2.0,10.4,6.3,45.1,1.2,0.6,16.6,32.9,,4.4,0.9,5.3,.146,,5.0,-1.9,3.1,2.2
94,Serge Ibaka\ibakase01,C,31,LAC,39,919,17.6,.582,.311,.130,8.6,23.1,16.0,10.8,0.5,4.4,10.7,19.8,,1.5,1.2,2.7,.141,,1.0,-0.5,0.4,0.6
95,Reggie Jackson\jacksre01,SG,30,LAC,54,1204,14.4,.580,.458,.158,1.8,12.2,7.2,19.2,1.3,0.4,11.1,19.8,,1.9,1.0,3.0,.118,,0.2,-0.5,-0.3,0.5
96,Tim Hardaway Jr.\hardati02,SG,28,DAL,53,1512,14.9,.579,.576,.179,1.2,11.5,6.5,9.1,0.8,0.4,6.2,22.9,,2.0,0.9,2.9,.093,,1.5,-1.7,-0.2,0.7
97,Jae Crowder\crowdja01,PF,30,PHO,52,1445,12.0,.578,.765,.158,2.1,17.4,10.0,10.0,1.5,1.3,9.6,15.5,,1.3,1.9,3.2,.107,,0.1,0.8,0.9,1.1
98,Eric Gordon\gordoer01,SG,32,HOU,27,789,14.6,.577,.572,.311,1.0,7.0,3.9,14.7,0.8,1.5,10.9,25.3,,0.6,0.3,0.9,.056,,0.9,-1.5,-0.6,0.3
